City,Date,NO2,CO,SO2
Ahmedabad,2015-01-01,18.22,0.92,27.64
Ahmedabad,2015-01-02,15.69,0.97,24.55
Ahmedabad,2015-01-03,19.3,17.4,29.07
Ahmedabad,2015-01-04,18.48,1.7,18.59
Ahmedabad,2015-01-05,21.42,22.1,39.33
Ahmedabad,2015-01-06,38.48,45.41,45.76
Ahmedabad,2015-01-07,40.62,112.16,32.28
Ahmedabad,2015-01-08,36.74,80.87,38.54
Ahmedabad,2015-01-09,31,29.16,58.68
Ahmedabad,2015-01-10,7.04,,8.29
Ahmedabad,2015-01-11,55.8,132.07,25.03
Ahmedabad,2015-01-12,40.67,52.04,51.84
Ahmedabad,2015-01-13,44.2,48.82,68.21
Ahmedabad,2015-01-14,27.86,19.2,52.65
Ahmedabad,2015-01-15,16.96,0.6,28.89
Ahmedabad,2015-01-16,21.72,1.63,38.27
Ahmedabad,2015-01-17,24.73,11.44,49.5
Ahmedabad,2015-01-18,25.77,6.1,48.43
Ahmedabad,2015-01-19,26.88,2.51,50.03
Ahmedabad,2015-01-20,26.8,7.92,58.87
Ahmedabad,2015-01-21,33.56,9.52,106.93
Ahmedabad,2015-01-22,17.51,9.05,23.71
Ahmedabad,2015-01-23,27.96,22.53,39.19
Ahmedabad,2015-01-24,20.39,2.03,40.07
Ahmedabad,2015-01-25,20.43,1.42,58.41
Ahmedabad,2015-01-26,21.16,2.27,43.73
Ahmedabad,2015-01-27,21.7,2.19,43.28
Ahmedabad,2015-01-28,21.11,5.72,36.52
Ahmedabad,2015-01-29,28.71,6.93,49.52
Ahmedabad,2015-01-30,28.68,13.85,48.49
Ahmedabad,2015-01-31,32.66,24.39,67.39
Ahmedabad,2015-02-01,42.08,43.48,75.23
Ahmedabad,2015-02-02,35.31,54.56,55.04
Ahmedabad,2015-02-03,28.4,30.61,33.79
Ahmedabad,2015-02-04,22.83,2.37,25.73
Ahmedabad,2015-02-05,21.39,2.6,32.66
Ahmedabad,2015-02-06,26.94,1.16,67.41
Ahmedabad,2015-02-07,31.32,7.29,80.09
Ahmedabad,2015-02-08,27.3,8.92,54.28
Ahmedabad,2015-02-09,24.27,4.32,48.73
Ahmedabad,2015-02-10,18.21,1.41,35.91
Ahmedabad,2015-02-11,23.8,6.34,66.58
Ahmedabad,2015-02-12,30.1,14.19,65.91
Ahmedabad,2015-02-13,39.56,18.18,80.43
Ahmedabad,2015-02-14,47.58,37.49,99.72
Ahmedabad,2015-02-15,30.5,15.55,69.71
Ahmedabad,2015-02-16,28.1,19.85,73.23
Ahmedabad,2015-02-17,21.04,15.96,54.7
Ahmedabad,2015-02-18,25.93,16.24,43.11
Ahmedabad,2015-02-19,30.09,11.25,84.86
Ahmedabad,2015-02-20,36.14,33.84,101.53
Ahmedabad,2015-02-21,46.25,61.95,84.87
Ahmedabad,2015-02-22,48.21,45.45,62.96
Ahmedabad,2015-02-23,55.07,77.7,89.07
Ahmedabad,2015-02-24,32.01,12.56,61.54
Ahmedabad,2015-02-25,10.45,2.23,32.76
Ahmedabad,2015-02-26,,,
Ahmedabad,2015-02-27,,,
Ahmedabad,2015-02-28,,,
Ahmedabad,2015-03-01,16.81,3.58,28.44
Ahmedabad,2015-03-02,18.21,9.07,29.48
Ahmedabad,2015-03-03,28.71,12.99,39.71
Ahmedabad,2015-03-04,29.38,18.21,62.75
Ahmedabad,2015-03-05,42.27,48.44,78.76
Ahmedabad,2015-03-06,,,
Ahmedabad,2015-03-07,16.1,2.5,29.29
Ahmedabad,2015-03-08,16.83,3.51,30.28
Ahmedabad,2015-03-09,24.07,4.13,50.35
Ahmedabad,2015-03-10,25.59,5.39,38.85
Ahmedabad,2015-03-11,28.94,4.11,54.2
Ahmedabad,2015-03-12,27.31,4.28,70.29
Ahmedabad,2015-03-13,21.58,3.67,64.39
Ahmedabad,2015-03-14,25.03,6.42,67.53
Ahmedabad,2015-03-15,14.16,3.1,48.33
Ahmedabad,2015-03-16,14.14,2.72,43.62
Ahmedabad,2015-03-17,29.84,5.34,59.23
Ahmedabad,2015-03-18,29.48,25.36,58.33
Ahmedabad,2015-03-19,37.05,46.24,53.62
Ahmedabad,2015-03-20,36.53,22.14,61.31
Ahmedabad,2015-03-21,43.29,22.25,66.44
Ahmedabad,2015-03-22,39.34,25.38,75.8
Ahmedabad,2015-03-23,41.03,45.61,65.77
Ahmedabad,2015-03-24,31.15,27.3,50.98
Ahmedabad,2015-03-25,34.48,23.83,64.32
Ahmedabad,2015-03-26,43.3,17.93,79.71
Ahmedabad,2015-03-27,35.82,6.4,46.89
Ahmedabad,2015-03-28,27.89,5.86,142.36
Ahmedabad,2015-03-29,21.8,4.99,96.28
Ahmedabad,2015-03-30,17.99,3.88,57.34
Ahmedabad,2015-03-31,20,6.52,51.58
Ahmedabad,2015-04-01,20.07,3.8,62.42
Ahmedabad,2015-04-02,18.87,5.24,100.48
Ahmedabad,2015-04-03,13.82,4.17,40.36
Ahmedabad,2015-04-04,15.5,5.63,38.21
Ahmedabad,2015-04-05,16.7,3.92,26.32
Ahmedabad,2015-04-06,20.86,4.23,35.54
Ahmedabad,2015-04-07,25.47,5.65,87.43
Ahmedabad,2015-04-08,30.69,15.82,66.39
Ahmedabad,2015-04-09,26.7,3.3,59.16
Ahmedabad,2015-04-10,26.27,5.9,34.53
Ahmedabad,2015-04-11,14.03,3.52,8.08
Ahmedabad,2015-04-12,19.56,5.28,17.66
Ahmedabad,2015-04-13,22.51,3.89,15.84
Ahmedabad,2015-04-14,21.71,5.74,25.9
Ahmedabad,2015-04-15,26.23,18.01,13.59
Ahmedabad,2015-04-16,36.88,30.8,41.06
Ahmedabad,2015-04-17,46.38,19.91,31.56
Ahmedabad,2015-04-18,20.27,4.3,46.6
Ahmedabad,2015-04-19,20.18,6.99,79.56
